dataset_name,source,source_file,retrieval_date,processing_date,source_crs,processing_crs,output_crs,feature_count,spatial_extent,provenance,notes,sha256_checksum
study_states,geoBoundaries IND ADM1,data/raw/admin/geoBoundaries_IND_ADM1.geojson,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,2,"Uttarakhand, Uttar Pradesh",geoBoundaries open license,Relevant northern India river basin states for Tehri-Bhagirathi-Ganga study.,VERIFIED_IN_STEP_4
study_districts,geoBoundaries IND ADM2,data/raw/admin/geoBoundaries_IND_ADM2.geojson,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,11,"Bijnor, Dehradun, Garhwal, Hardwar, Jyotiba Phule Nagar, Meerut, Muzaffarnagar, Rudraprayag, Saharanpur, Tehri Garhwal, Uttarkashi",geoBoundaries open license,Districts intersecting the 145 km study corridor with 35 km buffer.,VERIFIED_IN_STEP_4
healthcare,OpenStreetMap,data/raw/osm/chunks/*_features.gpkg,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,81,"Lat 29.33092 - 30.40263, Lon 78.03636 - 78.63867",OPENSTREETMAP FEATURE · UNVERIFIED OPERATIONAL STATUS,"Hospitals (57), Clinics (18), Doctors (1), Pharmacies (5). Mutually exclusive classification.",VERIFIED_IN_STEP_4
shelters,OpenStreetMap,data/raw/osm/chunks/*_features.gpkg,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,4,Study Corridor,OPENSTREETMAP FEATURE · UNVERIFIED OPERATIONAL STATUS,Strict amenity=shelter tag only.,VERIFIED_IN_STEP_4
community_centres,OpenStreetMap,data/raw/osm/chunks/*_features.gpkg,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,5,Study Corridor,OPENSTREETMAP FEATURE · UNVERIFIED OPERATIONAL STATUS,"Social/community assembly halls, separated from emergency shelters.",VERIFIED_IN_STEP_4
helipads,OpenStreetMap,data/raw/osm/chunks/*_features.gpkg,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,12,Study Corridor,OSM-MAPPED HELIPAD · UNVERIFIED OPERATIONAL STATUS,12 mapped aviation landing points.,VERIFIED_IN_STEP_4
emergency_facilities,OpenStreetMap,data/raw/osm/chunks/*_features.gpkg,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,14,Study Corridor,OPENSTREETMAP FEATURE · UNVERIFIED OPERATIONAL STATUS,"20 Police stations, 0 Fire stations mapped in query.",VERIFIED_IN_STEP_4
power_infrastructure,OpenStreetMap,data/raw/osm/chunks/*_features.gpkg,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,42,Study Corridor,OPENSTREETMAP FEATURE · UNVERIFIED OPERATIONAL STATUS,"Substations (26), Plants (9), Generators (7).",VERIFIED_IN_STEP_4
settlements,OpenStreetMap,data/raw/osm/chunks/*_features.gpkg,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,1049,"Lat 29.3029 - 30.44986, Lon 78.00035 - 78.64058",OPENSTREETMAP FEATURE · PRECOMPUTED SETTLEMENT CENTROID,"Cities (2), Towns (9), Villages (144), Hamlets (853), Suburbs (29), Localities (12).",VERIFIED_IN_STEP_4
road_network_routing,OpenStreetMap Drive Network,data/raw/osm/road_network_merged_v2.gpkg,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,38888,145 km Tehri to Bijnor Domain,OPENSTREETMAP FEATURE,"Routable topological graph. Total 30,726 nodes, 38,907 edges, 100% connected.",VERIFIED_IN_STEP_4
bridges,OpenStreetMap,data/raw/osm/road_network_merged_v2.gpkg,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,535,Study Corridor,OPENSTREETMAP FEATURE,535 bridge segments (534 unique physical bridge OSM IDs).,VERIFIED_IN_STEP_4
downstream_dem_glo30,Copernicus DEM GLO-30 (2024_1 Release),data/raw/gee/copernicus_dem/Copernicus_DEM_30m_*.tif,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,3240x4500 pixels,"BBox: {'west': 77.8, 'south': 29.25, 'east': 78.7, 'north': 30.5}",OBSERVED SOURCE DATA / REMOTE-SENSING PRODUCT (Digital Surface Model),Copernicus DEM GLO-30 is a DSM (EGM2008 datum). It DOES NOT provide submerged river bathymetry.,fb2c05052e58418d40a064ddeaef3d581122a1d09709387e245156361409fda9
downstream_worldcover_2021,ESA WorldCover 10m 2021 v200,data/raw/gee/worldcover/ESA_WorldCover_10m_2021_*_Map.tif,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,10800x15000 pixels,"BBox: {'west': 77.8, 'south': 29.25, 'east': 78.7, 'north': 30.5}",OBSERVED SOURCE DATA / REMOTE-SENSING PRODUCT (Land Cover Classification),"Full 4-tile seamless coverage (N30E078, N27E078, N30E075, N27E075). 0.0% nodata inside AOI.",2da00b729709dddc593956e8059d70bdae674fa9d5e8a5df413dbec02faa0308
hydrobasins_candidate_levels,HydroBASINS Asia v1c (HydroSHEDS),data/raw/hydrosheds/hydrobasins/hybas_as_lev*_v1c.zip,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,"Lev06: 15, Lev08: 105, Lev10: 511",Upper Ganga & Bhagirathi Regional Drainage,DERIVED HYDROGRAPHIC TOPOLOGY (WWF / HydroSHEDS),Upstream hydrologic catchment candidates. Distinct from downstream hydrodynamic domain.,84fa5162b4906497d6b4215c4dbcac438982466e84449eefd0e2fc114258f563
hydrorivers_study_region,HydroRIVERS Asia v1.0 (HydroSHEDS),data/raw/hydrosheds/hydrorivers/HydroRIVERS_v10_as_shp.zip,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,4677,Upper Bhagirathi down to Bijnor Barrage Corridor,OBSERVED HYDROGRAPHIC NETWORK (WWF / HydroSHEDS),River bathymetry NOT available from HydroRIVERS.,04914af054baa51d8553a42e8156ee3073c87683e5a6734113529f8fc302fdc7
tehri_upstream_validation_dem_glo30,Copernicus DEM GLO-30 (2024_1 Release),data/raw/gee/copernicus_dem/Copernicus_DEM_30m_N30E078/N30E079/N31E078/N31E079.tif,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,5760x5760 pixels,"Upstream AOI: {'west': 78.0, 'south': 30.0, 'east': 79.6, 'north': 31.6}",OBSERVED SOURCE DATA / REMOTE-SENSING PRODUCT (Digital Surface Model),Upstream Himalayan headwater DEM for hydrologic catchment validation. EGM2008 datum.,e1c410077071849de7d5955b6292650d74308375a531c187a7b981fe4e5d37f3
tehri_catchment_dem_candidate,Copernicus DEM GLO-30 D8 Hydrologic Routing,data/processed/tehri_inputs/terrain/tehri_upstream_validation_dem_glo30.tif,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,1 polygon,"Area: 2,752.46 km² (UTM Zone 44N)",DERIVED (D8 Flow Direction / Contributing Watershed),"DEM-derived contributing drainage basin to Tehri Dam snapped outlet (30.36542°N, 78.48208°E).",01a50cce82adc4a400b1158e5bf3dddb6ed0c32787abebd724a6cdf361f039a8
tehri_upstream_validation_dem_glo30_v2,Copernicus DEM GLO-30 (2024_1 Release),data/raw/gee/copernicus_dem/Copernicus_DEM_30m_N30E078/N30E079/N31E078/N31E079.tif,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,5760x5760 pixels,"Upstream AOI [78.00°E-79.60°E, 30.00°N-31.60°N]",OBSERVED SOURCE DATA / REMOTE-SENSING PRODUCT (Digital Surface Model),Re-mosaicked clean Copernicus DEM with 0 zero pixels and explicit NoData (-9999.0) boundary.,72e91126324e9664ef565d330786b12694ca975aeff35b6cb8ea0a7e3785de62
tehri_upstream_hydroconditioned_dem,Copernicus DEM GLO-30 + HydroRIVERS Stream Conditioning,data/processed/tehri_inputs/terrain/tehri_upstream_validation_dem_glo30_v2.tif,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,1920x1920 pixels,"Tehri Upstream Basin [78.00°E-79.60°E, 30.00°N-31.60°N]",DERIVED (Priority-Flood Depression Filled & HydroRIVERS Conditioned at 15.0m),Hydrologically conditioned DEM resolving reservoir flat and breaching dam wall for D8 routing.,2e504dcb0371f94d69d1a262fc24e3caee00b7a3a603d40e7d91266c38df5763
tehri_catchment_dem_conditioned,Copernicus DEM GLO-30 Conditioned D8 Drainage Routing,data/processed/tehri_inputs/terrain/tehri_upstream_hydroconditioned_dem.tif,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,1 polygon,"Area: 7,300.30 km² (UTM Zone 44N)",DERIVED (Dual-Tributary Conditioned D8 Watershed),Complete Tehri Dam hydrologic catchment capturing both Bhagirathi and Bhilangna river systems.,52ec82602e8f33dd1c861e2a3671fcf3b04614e86a26fa13ebdb1608a6e38a7a
catchment_rainfall_timeseries,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0),data/raw/meteorology/era5_land/era5_land_hourly_140cells_2024-06-01_2024-09-30.json,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,UTC Timestamp Time Series,"2,928 hourly timesteps (140 native cells)","Tehri Upstream Basin (7,300.30 km²)",DERIVED (0.1deg Fractional Area-Weighted Catchment Average),Canonical hourly precipitation accumulation (mm) area-weighted over 140 native ERA5-Land cells. Total: 814.66 mm.,80d1ccf7fbc4fa7b8ff978824ee83cafa2b7a6f8c193640a2f8e547b821045a6
cwc_discharge_timeseries,CWC Uttarakhand Telemetry Discharge Archive,data/raw/discharge/cwc_uttarakhand_discharge_1970_2025.csv; data/raw/discharge/cwc_uttarakhand_discharge_2026_2030.csv,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,UTC Timestamp Time Series,"22,783 records",Tekhla (Upstream Inflow) and Koteshwar (Downstream Outflow),OBSERVED (CWC 15-Minute River Discharge Telemetry),Quality-controlled river discharge telemetry with negative sensor spikes removed.,74a3743099d20979e9f312675826653fbd355330a9eb89b25da59d061f4f0b21
station_inventory,NWDP Rainfall Gauges & CWC Discharge Stations,data/raw/rainfall/; data/raw/discharge/,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,11 stations,Uttarakhand Study Domain,OBSERVED / METADATA INVENTORY,"Spatial classification (in-catchment, near-catchment, downstream) for all monitoring stations.",b01b1ab5338ab15a30c6792acf2cb0cf119c2ee069a3004c634f2a7a2b236e87
open_meteo_point_sampled_reanalysis_preliminary,Open-Meteo Historical Archive API (cell_selection=land),data/raw/meteorology/preliminary/open_meteo_point_sampled_reanalysis_preliminary.json,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,JSON Raw Archive,96 requested points (75 unique nodes),Tehri Catchment Bounding Box,OBSERVED / REANALYSIS EXTRACT (Preliminary point-sampled series with topographic snapping),Preserved preliminary meteorological dataset superseded by canonical 140-cell native gridded extraction.,6ac2ba2fbe429b5ee6d460168e8c7c56ab8bdb32cf2bcff2e013b566bb81ab30
subcatchments,Conditioned DEM + HydroRIVERS + HydroBASINS Lev 10 Delineation,data/processed/tehri_inputs/hydrology/model/subcatchments.gpkg,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,EPSG:4326,3 polygon features,"Upper Bhagirathi (4577.3 km²), Bhilangna (1472.2 km²), Lateral (1250.7 km²)",DERIVED (Topological Drainage Subcatchments),Topologically partitioned subcatchments for Tehri reservoir inflow modeling.,75e3258e96f1ef5abc6613de09a5dccb406707d29fda3febdfa6fe67991e89ec
tehri_total_inflow_scenarios,Parsimonious Conceptual Rainfall-Runoff Model,data/processed/tehri_inputs/hydrology/model/tehri_total_inflow_scenarios.csv,2026-09-01,2026-09-01,EPSG:4326,EPSG:32644,Hourly Time Series (m3/s),264 hourly timesteps,"Tehri Dam Reservoir Inflow (7,300.30 km²)",MODELLED / DERIVED (Calibrated Bhagirathi + Uncertainty-Aware Bhilangna & Lateral Inflows),"Total Tehri reservoir inflow scenarios (LOW, BASE=2113.7 m3/s, HIGH) for 2024 Monsoon Storm Event.",af080ea0b59b635e199fbf9328f20299b218bcd3a5a33939de0adcb93c7cf636
breach_scenario_parameters,Empirical Embankment Breach Mechanics Formulations (Froehlich 2008 / MacDonald 1984),data/processed/tehri_inputs/breach/scenarios/breach_scenario_parameters.json,2026-09-01,2026-09-01,,,JSON Schema,"3 scenarios (LOW, BASE, HIGH)",Tehri Dam Axis,ASSUMED EMERGENCY-PLANNING PARAMETERS,"Parameter sets for LOW (120m notch), BASE (220m Froehlich 2008), and HIGH (350m severe) breach simulations.",03ed05c433806893dc0c54ead88c196834ac58f2fc2e243f04465f9793346aed
breach_boundary_hydrograph,Level-Pool Continuity Solver with Froehlich (2008) Breach Growth,data/processed/tehri_inputs/breach/hydrographs/breach_boundary_hydrograph.csv,2026-09-01,2026-09-01,N/A,N/A,"Time Series (s, m3/s, m MSL)",8640 timesteps,"Tehri Dam Toe (30.3783°N, 78.4803°E)",SIMPLIFIED_THEORETICAL_BREACH_BOUNDARY (For Solver Integration Testing Only),Theoretical breach boundary hydrograph. Water level MODELLED FROM ASSUMED BENCHMARK HYPSOMETRY.,69340dfc75614ba90340ab73564a0b5090cd88c44e0c70ce381ee318a255fbfc
breach_scenarios_matrix,Empirical Embankment Breach Mechanics Engine,data/processed/tehri_inputs/breach/scenarios/breach_scenario_parameters.json,2026-09-01,2026-09-01,N/A,N/A,JSON Metadata,"3 scenarios (LOW, BASE, HIGH)",Tehri Dam Axis,EXTRAPOLATED THEORETICAL BENCHMARK,Theoretical parameter sets for solver stress-testing. Froehlich (2008) is an empirical extrapolation for 260m mega-dam.,fab1b38467440dda2ad1774839011660614766e1903263dc5098fefc324c6dbf
